% MTEX ODF
% crystal symmetry: "m-3m"
% specimen symmetry: "1"
% phi1    Phi     phi2    value
0.00000 0.00000 0.00000 0.40177
5.00000 0.00000 0.00000 0.38220
10.00000 0.00000 0.00000 0.35700
15.00000 0.00000 0.00000 0.35101
20.00000 0.00000 0.00000 0.37178
25.00000 0.00000 0.00000 0.40854
30.00000 0.00000 0.00000 0.44692
35.00000 0.00000 0.00000 0.49143
40.00000 0.00000 0.00000 0.54557
45.00000 0.00000 0.00000 0.57547
50.00000 0.00000 0.00000 0.54641
55.00000 0.00000 0.00000 0.47081
60.00000 0.00000 0.00000 0.41292
65.00000 0.00000 0.00000 0.39105
70.00000 0.00000 0.00000 0.38546
75.00000 0.00000 0.00000 0.38361
80.00000 0.00000 0.00000 0.38832
85.00000 0.00000 0.00000 0.39978
90.00000 0.00000 0.00000 0.40177
95.00000 0.00000 0.00000 0.38220
100.00000 0.00000 0.00000 0.35700
105.00000 0.00000 0.00000 0.35101
110.00000 0.00000 0.00000 0.37178
115.00000 0.00000 0.00000 0.40854
120.00000 0.00000 0.00000 0.44692
125.00000 0.00000 0.00000 0.49143
130.00000 0.00000 0.00000 0.54557
135.00000 0.00000 0.00000 0.57547
140.00000 0.00000 0.00000 0.54641
145.00000 0.00000 0.00000 0.47081
150.00000 0.00000 0.00000 0.41292
155.00000 0.00000 0.00000 0.39105
160.00000 0.00000 0.00000 0.38546
165.00000 0.00000 0.00000 0.38361
170.00000 0.00000 0.00000 0.38832
175.00000 0.00000 0.00000 0.39978
180.00000 0.00000 0.00000 0.40177
185.00000 0.00000 0.00000 0.38220
190.00000 0.00000 0.00000 0.35700
195.00000 0.00000 0.00000 0.35101
200.00000 0.00000 0.00000 0.37178
205.00000 0.00000 0.00000 0.40854
210.00000 0.00000 0.00000 0.44692
215.00000 0.00000 0.00000 0.49143
220.00000 0.00000 0.00000 0.54557
225.00000 0.00000 0.00000 0.57547
230.00000 0.00000 0.00000 0.54641
235.00000 0.00000 0.00000 0.47081
240.00000 0.00000 0.00000 0.41292
245.00000 0.00000 0.00000 0.39105
250.00000 0.00000 0.00000 0.38546
255.00000 0.00000 0.00000 0.38361
260.00000 0.00000 0.00000 0.38832
265.00000 0.00000 0.00000 0.39978
270.00000 0.00000 0.00000 0.40177
275.00000 0.00000 0.00000 0.38220
280.00000 0.00000 0.00000 0.35700
285.00000 0.00000 0.00000 0.35101
290.00000 0.00000 0.00000 0.37178
295.00000 0.00000 0.00000 0.40854
300.00000 0.00000 0.00000 0.44692
305.00000 0.00000 0.00000 0.49143
310.00000 0.00000 0.00000 0.54557
315.00000 0.00000 0.00000 0.57547
320.00000 0.00000 0.00000 0.54641
325.00000 0.00000 0.00000 0.47081
330.00000 0.00000 0.00000 0.41292
335.00000 0.00000 0.00000 0.39105
340.00000 0.00000 0.00000 0.38546
345.00000 0.00000 0.00000 0.38361
350.00000 0.00000 0.00000 0.38832
355.00000 0.00000 0.00000 0.39978
0.00000 5.00000 0.00000 0.53508
5.00000 5.00000 0.00000 0.50170
10.00000 5.00000 0.00000 0.45722
15.00000 5.00000 0.00000 0.43795
20.00000 5.00000 0.00000 0.45159
25.00000 5.00000 0.00000 0.48216
30.00000 5.00000 0.00000 0.51455
35.00000 5.00000 0.00000 0.55674
40.00000 5.00000 0.00000 0.61574
45.00000 5.00000 0.00000 0.64761
50.00000 5.00000 0.00000 0.60175
55.00000 5.00000 0.00000 0.51492
60.00000 5.00000 0.00000 0.45574
65.00000 5.00000 0.00000 0.43333
70.00000 5.00000 0.00000 0.42470
75.00000 5.00000 0.00000 0.41582
80.00000 5.00000 0.00000 0.40926
85.00000 5.00000 0.00000 0.40723
90.00000 5.00000 0.00000 0.39877
95.00000 5.00000 0.00000 0.37612
100.00000 5.00000 0.00000 0.35188
105.00000 5.00000 0.00000 0.34514
110.00000 5.00000 0.00000 0.36201
115.00000 5.00000 0.00000 0.39478
120.00000 5.00000 0.00000 0.43288
125.00000 5.00000 0.00000 0.47909
130.00000 5.00000 0.00000 0.52776
135.00000 5.00000 0.00000 0.54890
140.00000 5.00000 0.00000 0.53102
145.00000 5.00000 0.00000 0.46643
150.00000 5.00000 0.00000 0.40795
155.00000 5.00000 0.00000 0.38169
160.00000 5.00000 0.00000 0.37249
165.00000 5.00000 0.00000 0.36930
170.00000 5.00000 0.00000 0.37406
175.00000 5.00000 0.00000 0.38753
180.00000 5.00000 0.00000 0.39544
185.00000 5.00000 0.00000 0.38332
190.00000 5.00000 0.00000 0.36104
195.00000 5.00000 0.00000 0.35172
200.00000 5.00000 0.00000 0.36539
205.00000 5.00000 0.00000 0.39545
210.00000 5.00000 0.00000 0.43052
215.00000 5.00000 0.00000 0.47092
220.00000 5.00000 0.00000 0.50688
225.00000 5.00000 0.00000 0.51996
230.00000 5.00000 0.00000 0.51103
235.00000 5.00000 0.00000 0.45421
240.00000 5.00000 0.00000 0.40040
245.00000 5.00000 0.00000 0.37761
250.00000 5.00000 0.00000 0.37064
255.00000 5.00000 0.00000 0.37016
260.00000 5.00000 0.00000 0.38083
265.00000 5.00000 0.00000 0.40317
270.00000 5.00000 0.00000 0.41846
275.00000 5.00000 0.00000 0.40854
280.00000 5.00000 0.00000 0.38670
285.00000 5.00000 0.00000 0.38193
290.00000 5.00000 0.00000 0.40551
295.00000 5.00000 0.00000 0.44628
300.00000 5.00000 0.00000 0.48841
305.00000 5.00000 0.00000 0.53607
310.00000 5.00000 0.00000 0.59099
315.00000 5.00000 0.00000 0.61902
320.00000 5.00000 0.00000 0.59162
325.00000 5.00000 0.00000 0.51934
330.00000 5.00000 0.00000 0.46676
335.00000 5.00000 0.00000 0.45531
340.00000 5.00000 0.00000 0.46599
345.00000 5.00000 0.00000 0.48316
350.00000 5.00000 0.00000 0.50620
355.00000 5.00000 0.00000 0.53158
0.00000 10.00000 0.00000 0.67134
5.00000 10.00000 0.00000 0.63829
10.00000 10.00000 0.00000 0.58457
15.00000 10.00000 0.00000 0.55319
20.00000 10.00000 0.00000 0.55555
25.00000 10.00000 0.00000 0.57652
30.00000 10.00000 0.00000 0.60402
35.00000 10.00000 0.00000 0.64756
40.00000 10.00000 0.00000 0.70951
45.00000 10.00000 0.00000 0.73989
50.00000 10.00000 0.00000 0.68853
55.00000 10.00000 0.00000 0.60000
60.00000 10.00000 0.00000 0.54187
