grain_id,phase_id,phase_name,area_px,area_um2,centroid_x_px,centroid_y_px,bbox_min_row,bbox_min_col,bbox_max_row,bbox_max_col,perimeter_px,equiv_diameter_px
0,0,SecondPhase,303,37.11749999999999,12.336633663366337,16.580858085808583,0,4,34,20,85.14823227814082,19.64157789116634
1,0,SecondPhase,868,106.32999999999998,73.5725806451613,17.163594470046082,0,28,49,100,270.55129855222066,33.244126170349574
2,0,SecondPhase,5,0.6124999999999999,142.0,0.0,0,140,1,145,3.0,2.5231325220201604
3,0,SecondPhase,482,59.044999999999995,168.26970954356847,7.869294605809128,0,140,17,200,158.36753236814712,24.77299861870477
4,0,SecondPhase,818,100.20499999999998,247.34474327628362,14.67726161369193,0,227,34,275,208.1370849898476,32.27243324562564
5,0,SecondPhase,28,3.4299999999999997,292.64285714285717,1.1428571428571428,0,286,5,298,20.86396103067893,5.970821321441846
6,0,SecondPhase,188,23.029999999999998,428.21276595744683,5.707446808510638,0,418,15,439,58.2842712474619,15.471555655790098
7,0,SecondPhase,411,50.3475,485.11678832116786,9.309002433090024,0,468,22,504,123.39696961966999,22.875783109789968
8,0,SecondPhase,98,12.004999999999999,514.969387755102,3.2448979591836733,0,506,12,530,64.21320343559643,11.170383851240114
9,0,SecondPhase,1037,127.03249999999998,563.9672131147541,39.88235294117647,0,534,105,591,379.95436482630055,36.33661249883324
10,0,SecondPhase,1699,208.12749999999997,664.0735726898175,52.75279576221307,0,626,94,693,602.7422074112307,46.510579296597044
11,0,SecondPhase,437,53.53249999999999,719.8718535469108,19.663615560640732,0,693,34,741,172.99494936611666,23.58825303088947
12,0,SecondPhase,446,54.63499999999999,910.6838565022422,22.807174887892376,0,901,43,927,151.9827560572969,23.829914749152643
13,0,SecondPhase,221,27.072499999999998,927.3257918552036,12.122171945701357,0,915,29,939,112.26093065034893,16.774562271083887
14,0,SecondPhase,350,42.87499999999999,202.33428571428573,24.271428571428572,10,187,36,215,137.29646455628165,21.11004122822376
15,0,SecondPhase,111,13.597499999999998,445.81081081081084,17.65765765765766,12,439,23,454,40.62741699796952,11.888212206450685
16,0,SecondPhase,152,18.619999999999997,222.58552631578948,24.125,14,214,39,233,64.42640687119285,13.911592676604096
17,0,SecondPhase,218,26.704999999999995,509.26605504587155,23.68807339449541,15,489,32,531,97.01219330881975,16.66031874701878
18,0,SecondPhase,79,9.677499999999998,686.4303797468355,21.518987341772153,17,681,27,694,34.384776310850235,10.02925341359355
19,0,SecondPhase,1273,155.94249999999997,125.06677140612726,53.49018067556952,18,101,97,152,374.88939366884495,40.25958197060499
20,0,SecondPhase,5,0.6124999999999999,940.4,18.8,18,940,21,942,5.207106781186548,2.5231325220201604
21,0,SecondPhase,689,84.40249999999999,534.711175616836,45.898403483309146,25,501,73,564,244.45079348883235,29.618609797263055
22,0,SecondPhase,356,43.60999999999999,996.8426966292135,37.90449438202247,25,957,52,1024,163.57463914933368,21.290215544369623
